,LAW_CAT_CD,OFNS_DESC,YEAR,CMPLNT_NUM
350,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2015.0,52226
351,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2016.0,52423
352,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2017.0,51277
353,MISDEMEANOR,BURGLAR'S TOOLS,2006.0,160
354,MISDEMEANOR,BURGLAR'S TOOLS,2007.0,193
355,MISDEMEANOR,BURGLAR'S TOOLS,2008.0,171
356,MISDEMEANOR,BURGLAR'S TOOLS,2009.0,218
357,MISDEMEANOR,BURGLAR'S TOOLS,2010.0,222
358,MISDEMEANOR,BURGLAR'S TOOLS,2011.0,273
359,MISDEMEANOR,BURGLAR'S TOOLS,2012.0,292
360,MISDEMEANOR,BURGLAR'S TOOLS,2013.0,288
361,MISDEMEANOR,BURGLAR'S TOOLS,2014.0,373
362,MISDEMEANOR,BURGLAR'S TOOLS,2015.0,286
363,MISDEMEANOR,BURGLAR'S TOOLS,2016.0,263
364,MISDEMEANOR,BURGLAR'S TOOLS,2017.0,257
365,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2006.0,45887
366,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2007.0,48918
367,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2008.0,49224
368,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2009.0,45856
369,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2010.0,44929
370,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2011.0,42826
371,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2012.0,41010
372,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2013.0,36329
373,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2014.0,38857
374,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2015.0,39480
375,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2016.0,38736
376,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF,2017.0,38763
377,MISDEMEANOR,CRIMINAL TRESPASS,2006.0,6782
378,MISDEMEANOR,CRIMINAL TRESPASS,2007.0,8059
379,MISDEMEANOR,CRIMINAL TRESPASS,2008.0,8322
380,MISDEMEANOR,CRIMINAL TRESPASS,2009.0,8539
381,MISDEMEANOR,CRIMINAL TRESPASS,2010.0,7728
382,MISDEMEANOR,CRIMINAL TRESPASS,2011.0,6833
383,MISDEMEANOR,CRIMINAL TRESPASS,2012.0,5795
384,MISDEMEANOR,CRIMINAL TRESPASS,2013.0,4986
385,MISDEMEANOR,CRIMINAL TRESPASS,2014.0,5147
386,MISDEMEANOR,CRIMINAL TRESPASS,2015.0,4324
387,MISDEMEANOR,CRIMINAL TRESPASS,2016.0,3926
388,MISDEMEANOR,CRIMINAL TRESPASS,2017.0,3599
389,MISDEMEANOR,DANGEROUS DRUGS,2006.0,27975
390,MISDEMEANOR,DANGEROUS DRUGS,2007.0,31085
391,MISDEMEANOR,DANGEROUS DRUGS,2008.0,30961
392,MISDEMEANOR,DANGEROUS DRUGS,2009.0,32604
393,MISDEMEANOR,DANGEROUS DRUGS,2010.0,32926
394,MISDEMEANOR,DANGEROUS DRUGS,2011.0,32841
395,MISDEMEANOR,DANGEROUS DRUGS,2012.0,29372
396,MISDEMEANOR,DANGEROUS DRUGS,2013.0,24444
397,MISDEMEANOR,DANGEROUS DRUGS,2014.0,24317
398,MISDEMEANOR,DANGEROUS DRUGS,2015.0,19215
399,MISDEMEANOR,DANGEROUS DRUGS,2016.0,17897
400,MISDEMEANOR,DANGEROUS DRUGS,2017.0,17221
401,MISDEMEANOR,DANGEROUS WEAPONS,2006.0,7100
402,MISDEMEANOR,DANGEROUS WEAPONS,2007.0,7716
403,MISDEMEANOR,DANGEROUS WEAPONS,2008.0,7657
404,MISDEMEANOR,DANGEROUS WEAPONS,2009.0,8364
405,MISDEMEANOR,DANGEROUS WEAPONS,2010.0,8728
406,MISDEMEANOR,DANGEROUS WEAPONS,2011.0,8605
407,MISDEMEANOR,DANGEROUS WEAPONS,2012.0,7121
408,MISDEMEANOR,DANGEROUS WEAPONS,2013.0,6514
409,MISDEMEANOR,DANGEROUS WEAPONS,2014.0,6169
410,MISDEMEANOR,DANGEROUS WEAPONS,2015.0,5674
411,MISDEMEANOR,DANGEROUS WEAPONS,2016.0,5004
412,MISDEMEANOR,DANGEROUS WEAPONS,2017.0,3836
413,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2006.0,6
414,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2007.0,7
415,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2009.0,6
416,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2010.0,3
417,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2011.0,4
418,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2012.0,4
419,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2013.0,5
420,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2014.0,6
421,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2015.0,7
422,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2016.0,2
423,MISDEMEANOR,DISRUPTION OF A RELIGIOUS SERV,2017.0,1
424,MISDEMEANOR,ENDAN WELFARE INCOMP,2006.0,12
425,MISDEMEANOR,ENDAN WELFARE INCOMP,2007.0,6
426,MISDEMEANOR,ENDAN WELFARE INCOMP,2008.0,10
427,MISDEMEANOR,ENDAN WELFARE INCOMP,2009.0,18
428,MISDEMEANOR,ENDAN WELFARE INCOMP,2010.0,10
429,MISDEMEANOR,ENDAN WELFARE INCOMP,2011.0,9
430,MISDEMEANOR,ENDAN WELFARE INCOMP,2012.0,16
431,MISDEMEANOR,ENDAN WELFARE INCOMP,2013.0,17
